Datum;Zeit;Windgeschw._13 m/s;Min;Max;Windrichtung_13 deg;Min;Max;Lufttemperatur_13 C;Min;Max;Luftfeuchtigkeit_13 %rF;Min;Max;Luftdruck_13 hPa;Min;Max;Taupunkt_13 C;Min;Max;Globalstrahlung_13 W/m2;Min;Max
28.06.2024;00:00:00;0,8;0;2,6;216,8;0;344,3;18,6;18,4;18,7;85,8;84,3;87,2;989,6;989,5;989,7;16,1;16;16,4;1,4;1,1;1,8
28.06.2024;00:10:00;0,5;0;1,2;187,6;0;347;18,2;18,2;18,4;86,8;86;87,4;989,7;989,6;989,7;16;15,8;16,2;0,9;0,7;1,3
28.06.2024;00:20:00;0,7;0;1,6;241,8;0;310,3;18,2;18,1;18,2;86,7;85,9;87,8;989,8;989,7;989,8;15,9;15,8;16,2;1,3;0,9;1,7
